customer_id,segment,country,is_enterprise,acquisition_source,true_signup_date,subscription_id,subscription_start_date,end_date,monthly_price,subscription_status,activated,churned,trial_start,life_cycle_stage,subscription_end_date
C0026,Unknown,UK,False,outbound,2023-01-14,S00024,2023-02-23,,299.0,active,2023-01-17,,2023-01-15,Paid,
C0027,Unknown,US,False,outbound,2023-01-18,S00026,2023-01-22,,149.0,active,2023-03-29,,2023-03-24,Paid,
C0028,Mid-Market,AU,False,outbound,2023-01-11,S00027,2023-01-11,2023-03-23,99.0,canceled,2023-01-23,,2023-01-19,Churned,2023-03-23
C0029,Unknown,CA,False,referral,2023-02-09,S00028,2023-04-02,,499.0,active,2023-02-14,,2023-02-10,Paid,
C0030,Unknown,CA,False,referral,2023-02-07,S00029,2023-04-01,,299.0,active,2023-02-10,2023-05-12,2023-02-08,Churned,2023-05-12
C0031,SMB,AU,False,ads,2023-01-18,S00030,2023-01-18,,499.0,active,,,,Paid,
C0032,Enterprise,AU,True,outbound,2023-01-09,S00031,2023-04-02,,79.0,active,,,2023-01-10,Paid,
C0033,Unknown,IN,False,referral,2023-02-07,S00032,2023-03-25,2023-06-04,79.0,canceled,2023-03-20,2023-06-12,2023-03-17,Churned,2023-06-12
C0034,Mid-Market,CA,False,ads,2023-02-03,S00033,2023-03-07,,699.0,active,2023-03-08,,2023-03-06,Paid,
C0035,Enterprise,AU,True,outbound,2023-01-31,S00034,2023-02-16,2023-04-04,49.0,canceled,,,,Churned,2023-04-04
C0036,Mid-Market,UK,False,organic,2023-01-26,S00035,2023-03-17,,149.0,active,,2023-02-27,,Churned,2023-02-27
C0037,SMB,CA,False,ads,2023-02-15,S00036,2023-03-03,,149.0,active,2023-02-18,,2023-02-16,Paid,
C0038,SMB,UK,False,referral,2023-01-03,S00037,2023-02-15,2023-04-17,499.0,canceled,2023-01-09,,2023-01-07,Churned,2023-04-17
C0039,Mid-Market,US,False,outbound,2023-01-19,S00038,2023-01-19,,49.0,active,2023-02-16,,2023-02-14,Paid,
C0040,SMB,US,False,ads,2023-01-03,S00039,2023-01-17,,299.0,active,,,2023-01-04,Paid,
C0041,Mid-Market,IN,False,referral,2023-01-09,S00040,2023-03-18,2023-05-29,149.0,canceled,,,2023-01-28,Churned,2023-05-29
C0042,Mid-Market,UK,False,organic,2023-01-09,,,,,,,2023-03-04,,Churned,
C0043,Unknown,IN,False,outbound,2023-01-12,S00041,2023-01-12,,699.0,active,2023-03-13,,2023-03-11,Paid,
C0044,Mid-Market,AU,False,outbound,2023-03-10,S00042,2023-03-26,,499.0,active,2023-03-14,,2023-03-11,Paid,
C0045,Enterprise,DE,True,organic,2023-01-20,S00043,2023-01-20,2023-04-02,79.0,canceled,,,,Churned,2023-04-02
C0046,SMB,IN,False,ads,2023-01-22,S00044,2023-02-20,,699.0,active,,,,Paid,
C0047,SMB,CA,False,referral,2023-02-13,S00045,2023-04-05,2023-07-01,79.0,canceled,,,2023-03-06,Churned,2023-07-01
C0048,Mid-Market,US,False,organic,2023-02-27,S00046,2023-02-27,2023-05-07,79.0,canceled,,,2023-03-06,Churned,2023-05-07
C0049,SMB,IN,False,ads,2023-01-27,S00047,2023-02-25,2023-05-18,699.0,canceled,,,2023-01-28,Churned,2023-05-18
C0050,Enterprise,US,True,referral,2023-01-05,S00048,2023-02-18,2023-04-15,49.0,canceled,,,2023-02-25,Churned,2023-04-15
C0051,Unknown,IN,False,ads,2023-01-18,,,,,,2023-01-21,,2023-01-19,Activated,
C0052,Unknown,IN,False,organic,2023-03-07,S00049,2023-03-22,2023-06-17,149.0,canceled,2023-03-12,,2023-03-08,Churned,2023-06-17
C0053,Mid-Market,US,False,organic,2023-02-10,S00050,2023-03-22,,79.0,active,2023-02-14,,2023-02-11,Paid,
C0054,Enterprise,DE,True,referral,2023-01-11,S00051,2023-01-12,,149.0,active,2023-01-13,,2023-01-12,Paid,
C0055,SMB,US,False,outbound,2023-01-07,S00052,2023-03-12,,79.0,active,2023-01-17,2023-03-26,2023-01-14,Churned,2023-03-26
C0056,SMB,IN,False,referral,2023-01-22,S00053,2023-01-22,2023-04-04,299.0,canceled,,,,Churned,2023-04-04
C0057,Unknown,IN,False,outbound,2023-02-16,S00054,2023-02-16,,149.0,active,,,2023-04-02,Paid,
C0058,Unknown,IN,False,referral,2023-01-02,S00055,2023-04-04,,99.0,active,2023-01-07,,2023-01-03,Paid,
C0059,Unknown,CA,False,ads,2023-01-10,S00056,2023-02-12,,79.0,active,,,,Paid,
C0060,SMB,US,False,organic,2023-01-30,S00057,2023-03-12,,499.0,active,,,,Paid,
C0061,Mid-Market,DE,False,organic,2023-01-31,S00058,2023-03-17,,79.0,active,,,2023-03-02,Paid,
C0062,Unknown,US,False,organic,2023-01-27,S00059,2023-04-03,,499.0,active,,2023-03-15,,Churned,2023-03-15
C0063,Unknown,UK,False,outbound,2023-01-01,S00060,2023-01-28,,499.0,active,,,2023-02-10,Paid,
C0064,Enterprise,DE,True,referral,2023-01-29,S00061,2023-02-20,,299.0,active,2023-02-04,,2023-01-30,Paid,
C0065,Unknown,IN,False,ads,2023-02-28,S00062,2023-02-28,,699.0,active,,2023-05-25,,Churned,2023-05-25
C0066,SMB,CA,False,organic,2023-01-28,S00063,2023-03-01,,299.0,active,2023-02-21,,2023-02-19,Paid,
C0067,Enterprise,US,True,referral,2023-01-08,S00064,2023-01-12,,79.0,active,2023-03-17,2023-06-22,2023-03-15,Churned,2023-06-22
C0068,Mid-Market,US,False,outbound,2023-01-05,S00065,2023-02-11,,79.0,active,2023-01-08,2023-03-25,2023-01-06,Churned,2023-03-25
C0069,Mid-Market,US,False,referral,2023-01-11,S00066,2023-02-12,2023-04-17,49.0,canceled,2023-01-29,,2023-01-28,Churned,2023-04-17
C0070,Mid-Market,DE,False,ads,2023-01-22,S00067,2023-03-04,2023-05-28,499.0,canceled,,,,Churned,2023-05-28
C0071,Mid-Market,CA,False,ads,2023-01-17,S00068,2023-02-03,,299.0,active,2023-01-20,2023-03-14,2023-01-18,Churned,2023-03-14
C0072,SMB,DE,False,referral,2023-02-25,S00069,2023-04-05,,499.0,active,2023-03-03,,2023-02-26,Paid,
C0073,Enterprise,UK,True,outbound,2023-02-28,S00071,2023-02-28,,499.0,active,2023-03-09,,2023-03-07,Paid,
C0074,Mid-Market,UK,False,organic,2023-01-07,S00072,2023-01-07,,79.0,active,,,2023-03-20,Paid,
C0075,Enterprise,DE,True,organic,2023-03-01,S00073,2023-03-03,,499.0,active,,,,Paid,
C0076,SMB,DE,False,organic,2023-01-10,S00074,2023-03-22,,299.0,active,,,,Paid,
C0077,SMB,US,False,outbound,2023-01-30,S00075,2023-01-30,,79.0,active,,,,Paid,
C0078,Enterprise,IN,True,organic,2023-01-28,S00076,2023-01-28,,49.0,active,2023-02-24,,2023-02-20,Paid,
C0079,Mid-Market,UK,False,ads,2023-01-09,S00077,2023-03-18,,79.0,active,,,2023-02-01,Paid,
C0080,Enterprise,CA,True,ads,2023-02-17,S00078,2023-02-17,,79.0,active,,,,Paid,
C0081,SMB,AU,False,organic,2023-03-12,,,,,,,,2023-03-13,Trial,
C0082,SMB,IN,False,referral,2023-02-08,S00080,2023-03-27,,499.0,active,2023-02-27,2023-06-13,2023-02-23,Churned,2023-06-13
C0083,Mid-Market,UK,False,organic,2023-01-14,S00081,2023-03-17,,699.0,active,2023-02-20,2023-04-03,2023-02-19,Churned,2023-04-03
C0084,Enterprise,IN,True,outbound,2023-01-27,S00082,2023-01-29,,699.0,active,2023-02-13,,2023-02-12,Paid,
C0085,Unknown,UK,False,outbound,2023-02-03,S00083,2023-03-15,,99.0,active,,,,Paid,
C0086,SMB,AU,False,outbound,2023-01-03,S00084,2023-02-17,,99.0,active,2023-01-08,2023-04-28,2023-01-04,Churned,2023-04-28
C0087,SMB,US,False,ads,2023-02-05,S00085,2023-03-14,,299.0,active,2023-03-30,,2023-03-29,Paid,
C0088,Enterprise,IN,True,outbound,2023-01-17,,,,,,,,,Signup,
C0089,Unknown,CA,False,ads,2023-02-19,S00086,2023-04-01,,79.0,active,2023-02-21,,2023-02-20,Paid,
C0090,SMB,AU,False,outbound,2023-02-01,S00087,2023-03-26,2023-04-27,499.0,canceled,2023-02-06,2023-03-04,2023-02-02,Churned,2023-03-04
C0091,SMB,UK,False,referral,2023-01-25,S00088,2023-02-23,,49.0,active,,2023-05-20,2023-01-26,Churned,2023-05-20
C0092,Unknown,IN,False,outbound,2023-01-19,S00089,2023-02-11,2023-04-15,699.0,canceled,,,2023-01-23,Churned,2023-04-15
C0093,Enterprise,US,True,outbound,2023-03-12,S00090,2023-03-12,,149.0,active,,2023-05-17,2023-03-22,Churned,2023-05-17
C0094,Mid-Market,AU,False,ads,2023-01-27,S00091,2023-03-30,2023-05-31,49.0,canceled,,2023-04-13,2023-02-16,Churned,2023-04-13
C0095,Unknown,CA,False,organic,2023-01-29,,,,,,,,,Signup,
C0096,Mid-Market,IN,False,referral,2023-01-06,S00092,2023-03-15,,499.0,active,2023-01-12,,2023-01-07,Paid,
C0097,Mid-Market,AU,False,ads,2023-01-04,S00093,2023-02-02,,149.0,active,,,,Paid,
C0098,Mid-Market,UK,False,referral,2023-01-13,S00094,2023-04-05,,499.0,active,,,,Paid,
C0099,SMB,DE,False,outbound,2023-01-15,S00095,2023-01-15,,79.0,active,,,,Paid,
C0100,Mid-Market,IN,False,organic,2023-01-09,S00097,2023-01-10,2023-02-12,79.0,canceled,2023-01-14,,2023-01-10,Churned,2023-02-12
C0101,Enterprise,UK,True,outbound,2023-02-28,S00098,2023-03-18,2023-06-08,79.0,canceled,,2023-06-22,,Churned,2023-06-22
C0102,Mid-Market,US,False,ads,2023-01-30,,,,,,2023-02-11,2023-04-27,2023-02-10,Churned,
C0103,Enterprise,UK,True,organic,2023-02-07,S00099,2023-03-04,,149.0,active,,2023-05-24,2023-02-08,Churned,2023-05-24
C0104,Enterprise,AU,True,organic,2023-01-21,S00100,2023-01-21,,499.0,active,,2023-05-06,2023-02-13,Churned,2023-05-06
C0105,Enterprise,US,True,referral,2023-01-04,S00101,2023-03-21,2023-06-13,49.0,canceled,,,,Churned,2023-06-13
C0106,Mid-Market,CA,False,outbound,2023-02-03,S00102,2023-03-11,2023-05-30,499.0,canceled,,,,Churned,2023-05-30
C0107,SMB,US,False,outbound,2023-01-17,S00103,2023-01-17,,149.0,active,2023-03-21,2023-06-19,2023-03-20,Churned,2023-06-19
C0108,Enterprise,DE,True,ads,2023-01-09,S00104,2023-01-09,,299.0,active,,,,Paid,
C0109,SMB,DE,False,outbound,2023-01-12,S00105,2023-03-16,,499.0,active,,2023-04-16,2023-01-13,Churned,2023-04-16
C0110,Enterprise,US,True,ads,2023-01-25,S00106,2023-03-29,,49.0,active,,2023-04-17,2023-02-25,Churned,2023-04-17
C0111,Mid-Market,UK,False,outbound,2023-01-01,S00107,2023-01-21,2023-03-28,299.0,canceled,,,2023-02-09,Churned,2023-03-28
C0112,Enterprise,CA,True,organic,2023-01-11,S00108,2023-03-17,,99.0,active,2023-01-16,,2023-01-12,Paid,
C0113,Enterprise,CA,True,organic,2023-01-16,S00109,2023-02-19,2023-05-17,499.0,canceled,,2023-04-08,,Churned,2023-04-08
C0114,Enterprise,DE,True,organic,2023-01-11,S00110,2023-01-24,2023-03-09,299.0,canceled,,,,Churned,2023-03-09
C0115,Mid-Market,IN,False,outbound,2023-01-30,S00111,2023-01-30,2023-04-12,699.0,canceled,2023-03-17,,2023-03-13,Churned,2023-04-12
C0116,Mid-Market,CA,False,organic,2023-01-10,S00112,2023-01-12,,299.0,active,,2023-03-05,,Churned,2023-03-05
C0117,SMB,UK,False,ads,2023-01-02,S00113,2023-02-12,,99.0,active,,,,Paid,
C0118,Enterprise,DE,True,organic,2023-02-23,S00114,2023-03-09,,99.0,active,,,,Paid,
C0119,Mid-Market,CA,False,organic,2023-01-18,S00115,2023-01-18,,49.0,active,2023-02-11,,2023-02-10,Paid,
C0120,SMB,UK,False,ads,2023-01-22,S00116,2023-03-04,,499.0,active,,,2023-02-20,Paid,
C0121,Enterprise,US,True,referral,2023-03-07,S00117,2023-03-19,,699.0,active,2023-03-09,,2023-03-08,Paid,
C0122,Enterprise,IN,True,organic,2023-01-06,S00118,2023-01-06,,699.0,active,,,2023-02-02,Paid,
C0123,SMB,US,False,ads,2023-01-19,S00119,2023-03-02,,99.0,active,,,2023-04-01,Paid,
C0124,SMB,DE,False,outbound,2023-02-02,S00120,2023-03-08,,99.0,active,,2023-03-18,2023-02-03,Churned,2023-03-18
C0125,Mid-Market,AU,False,ads,2023-01-19,S00121,2023-01-19,2023-03-28,49.0,canceled,,,2023-03-25,Churned,2023-03-28
C0126,Unknown,IN,False,ads,2023-01-23,S00122,2023-01-23,,79.0,active,,2023-05-31,,Churned,2023-05-31
C0127,SMB,US,False,referral,2023-01-15,S00123,2023-01-15,,49.0,active,,,,Paid,
C0128,Mid-Market,AU,False,organic,2023-01-29,S00124,2023-03-21,,699.0,active,,,2023-03-18,Paid,
C0129,Mid-Market,US,False,ads,2023-01-07,,,,,,,,,Signup,
C0130,Enterprise,DE,True,outbound,2023-02-04,S00125,2023-03-16,,299.0,active,,,,Paid,
C0131,Unknown,CA,False,referral,2023-01-01,S00126,2023-02-21,,699.0,active,,2023-02-08,,Churned,2023-02-08
C0132,Unknown,DE,False,organic,2023-01-21,S00127,2023-01-23,,299.0,active,2023-03-12,,2023-03-10,Paid,
C0133,Enterprise,CA,True,outbound,2023-01-07,S00128,2023-01-07,,699.0,active,2023-02-01,,2023-01-27,Paid,
C0134,Enterprise,DE,True,outbound,2023-01-26,,,,,,,,2023-01-27,Trial,
C0135,Mid-Market,UK,False,organic,2023-02-06,S00129,2023-03-12,2023-04-21,79.0,canceled,,2023-05-04,2023-02-27,Churned,2023-05-04
C0136,SMB,IN,False,ads,2023-02-18,S00130,2023-03-19,,79.0,active,2023-02-21,,2023-02-19,Paid,
C0137,Mid-Market,AU,False,ads,2023-01-02,S00131,2023-02-20,2023-05-09,149.0,canceled,,2023-04-16,,Churned,2023-04-16
C0138,Unknown,UK,False,ads,2023-01-13,S00132,2023-02-08,,49.0,active,,,,Paid,
C0139,SMB,IN,False,referral,2023-02-21,S00133,2023-02-21,,149.0,active,2023-03-08,,2023-03-05,Paid,
C0140,SMB,CA,False,referral,2023-02-10,S00134,2023-03-30,,499.0,active,,,,Paid,
C0141,Enterprise,UK,True,organic,2023-01-01,S00135,2023-02-10,,99.0,active,2023-03-22,2023-07-17,2023-03-21,Churned,2023-07-17
C0142,Mid-Market,DE,False,organic,2023-01-18,S00136,2023-02-23,,99.0,active,2023-01-21,,2023-01-19,Paid,
C0143,Unknown,US,False,organic,2023-01-15,S00137,2023-01-15,,149.0,active,,,2023-03-08,Paid,
C0144,Unknown,AU,False,referral,2023-01-03,S00138,2023-02-26,,699.0,active,,,,Paid,
C0145,Mid-Market,CA,False,referral,2023-03-01,S00139,2023-03-24,2023-06-18,79.0,canceled,2023-04-03,,2023-03-29,Churned,2023-06-18
C0146,SMB,US,False,referral,2023-02-04,S00140,2023-02-04,2023-04-16,99.0,canceled,,,,Churned,2023-04-16
C0147,Unknown,IN,False,ads,2023-01-18,S00141,2023-01-29,2023-04-07,499.0,canceled,2023-02-25,,2023-02-20,Churned,2023-04-07
C0148,Enterprise,IN,True,ads,2023-01-17,S00142,2023-03-31,2023-06-20,99.0,canceled,,,2023-01-18,Churned,2023-06-20
C0149,Unknown,UK,False,organic,2023-01-22,S00143,2023-03-08,,149.0,active,,,,Paid,
C0150,Enterprise,US,True,outbound,2023-02-01,S00144,2023-02-27,2023-03-31,79.0,canceled,,,,Churned,2023-03-31
C0151,SMB,UK,False,ads,2023-01-14,S00145,2023-01-26,2023-03-29,49.0,canceled,,2023-03-26,,Churned,2023-03-26
C0152,SMB,US,False,organic,2023-01-09,S00146,2023-01-24,2023-03-11,79.0,canceled,2023-02-07,,2023-02-06,Churned,2023-03-11
C0153,SMB,CA,False,organic,2023-01-12,S00147,2023-02-26,,299.0,active,2023-01-18,,2023-01-13,Paid,
C0154,Unknown,AU,False,ads,2023-01-17,S00148,2023-03-31,,49.0,active,,,,Paid,
C0155,Unknown,AU,False,organic,2023-01-28,S00149,2023-03-07,,79.0,active,,,2023-03-26,Paid,
C0156,Mid-Market,CA,False,outbound,2023-01-24,S00150,2023-01-24,,699.0,active,2023-02-09,,2023-02-04,Paid,
C0157,Mid-Market,UK,False,ads,2023-01-15,S00151,2023-03-12,,499.0,active,,,,Paid,
C0158,Enterprise,CA,True,ads,2023-01-04,,,,,,,,2023-02-10,Trial,
C0159,Unknown,AU,False,referral,2023-01-14,S00152,2023-01-14,2023-03-09,79.0,canceled,,2023-06-10,,Churned,2023-06-10
C0160,Mid-Market,US,False,outbound,2023-01-14,S00153,2023-01-31,,299.0,active,2023-01-17,,2023-01-15,Paid,
C0161,SMB,CA,False,referral,2023-01-29,S00154,2023-03-24,2023-05-23,299.0,canceled,,2023-05-24,2023-01-30,Churned,2023-05-24
C0162,Unknown,AU,False,ads,2023-02-14,S00155,2023-03-15,,49.0,active,,,2023-03-19,Paid,
C0163,Enterprise,US,True,organic,2023-03-06,S00156,2023-03-24,,49.0,active,,,2023-03-23,Paid,
C0164,SMB,DE,False,referral,2023-01-20,S00157,2023-03-30,,149.0,active,,,2023-01-21,Paid,
C0165,Unknown,AU,False,ads,2023-01-23,S00158,2023-03-14,,699.0,active,,,,Paid,
C0166,Enterprise,CA,True,outbound,2023-01-03,S00159,2023-02-19,,499.0,active,,,2023-01-04,Paid,
C0167,Unknown,DE,False,organic,2023-02-20,S00160,2023-03-20,2023-04-27,99.0,canceled,,,,Churned,2023-04-27
C0168,Enterprise,UK,True,outbound,2023-02-04,S00161,2023-02-04,,49.0,active,2023-04-06,,2023-04-01,Paid,
C0169,Enterprise,DE,True,ads,2023-01-12,S00162,2023-02-27,,49.0,active,2023-04-06,,2023-04-02,Paid,
C0170,Unknown,UK,False,referral,2023-01-19,S00163,2023-03-20,,299.0,active,,2023-05-12,,Churned,2023-05-12
C0171,Enterprise,IN,True,ads,2023-02-16,S00165,2023-04-04,,149.0,active,,,2023-02-17,Paid,
C0172,Enterprise,UK,True,outbound,2023-02-15,S00166,2023-03-30,,99.0,active,,,2023-02-19,Paid,
C0173,Enterprise,CA,True,ads,2023-02-15,S00167,2023-02-21,,499.0,active,2023-02-21,,2023-02-16,Paid,
C0174,Mid-Market,US,False,organic,2023-01-20,S00168,2023-03-17,,149.0,active,2023-01-23,,2023-01-21,Paid,
C0175,Unknown,CA,False,referral,2023-02-22,S00169,2023-03-08,,99.0,active,,,2023-03-31,Paid,
C0176,Unknown,AU,False,ads,2023-02-25,S00170,2023-02-25,,699.0,active,2023-03-06,,2023-03-02,Paid,
C0177,SMB,US,False,ads,2023-01-15,S00171,2023-02-04,,499.0,active,,,2023-01-16,Paid,
C0178,Mid-Market,UK,False,ads,2023-02-21,S00172,2023-03-12,,99.0,active,2023-03-19,,2023-03-18,Paid,
C0179,Unknown,CA,False,outbound,2023-02-17,S00173,2023-04-03,,79.0,active,2023-02-25,2023-05-01,2023-02-20,Churned,2023-05-01
C0180,Enterprise,UK,True,ads,2023-01-17,S00174,2023-01-17,,149.0,active,,2023-06-19,,Churned,2023-06-19
C0181,Enterprise,UK,True,organic,2023-01-09,S00175,2023-01-14,,99.0,active,,,2023-01-10,Paid,
C0182,Enterprise,US,True,ads,2023-01-25,S00176,2023-02-24,,149.0,active,,2023-05-13,,Churned,2023-05-13
C0183,Mid-Market,IN,False,outbound,2023-01-01,S00177,2023-03-23,2023-06-10,699.0,canceled,,2023-02-16,,Churned,2023-02-16
C0184,Enterprise,AU,True,outbound,2023-03-03,S00178,2023-03-10,,79.0,active,,2023-05-09,2023-03-26,Churned,2023-05-09
C0185,Enterprise,US,True,referral,2023-02-16,,,,,,,,2023-02-17,Trial,
C0186,Mid-Market,UK,False,outbound,2023-01-30,S00179,2023-01-30,2023-04-08,299.0,canceled,,,,Churned,2023-04-08
C0187,Mid-Market,UK,False,referral,2023-01-02,S00180,2023-02-04,,499.0,active,2023-03-30,,2023-03-27,Paid,
C0188,SMB,CA,False,referral,2023-01-06,S00182,2023-01-06,,49.0,active,2023-03-21,2023-05-12,2023-03-20,Churned,2023-05-12
C0189,Unknown,US,False,outbound,2023-01-17,S00183,2023-02-20,,149.0,active,2023-02-14,2023-04-24,2023-02-09,Churned,2023-04-24
C0190,Enterprise,DE,True,referral,2023-01-17,S00184,2023-04-06,2023-05-11,299.0,canceled,2023-01-21,,2023-01-18,Churned,2023-05-11
C0191,Mid-Market,US,False,outbound,2023-02-13,S00185,2023-03-18,,99.0,active,,,,Paid,
C0192,SMB,US,False,outbound,2023-02-03,S00186,2023-02-03,,79.0,active,2023-03-13,,2023-03-11,Paid,
C0193,SMB,IN,False,outbound,2023-01-06,S00187,2023-01-06,,149.0,active,,,2023-02-24,Paid,
C0194,Enterprise,US,True,outbound,2023-01-10,S00188,2023-03-11,,49.0,active,,,2023-01-11,Paid,
C0195,Unknown,CA,False,referral,2023-01-16,,,,,,,,,Signup,
C0196,Mid-Market,CA,False,outbound,2023-01-29,S00189,2023-03-20,,149.0,active,,2023-03-13,2023-01-30,Churned,2023-03-13
C0197,Enterprise,CA,True,ads,2023-01-23,S00190,2023-02-06,,699.0,active,,,,Paid,
C0198,SMB,CA,False,organic,2023-01-13,S00191,2023-03-22,,149.0,active,,,,Paid,
C0199,Mid-Market,AU,False,referral,2023-01-13,S00192,2023-03-28,,79.0,active,2023-03-24,2023-07-13,2023-03-20,Churned,2023-07-13
C0200,SMB,IN,False,organic,2023-02-15,S00193,2023-02-15,,99.0,active,,,2023-03-04,Paid,
C0201,SMB,IN,False,outbound,2023-01-19,S00194,2023-02-08,2023-03-15,149.0,canceled,,2023-05-10,,Churned,2023-05-10
C0202,Unknown,AU,False,referral,2023-02-18,S00195,2023-02-18,2023-05-18,79.0,canceled,2023-04-06,2023-06-15,2023-04-02,Churned,2023-06-15
C0203,SMB,IN,False,organic,2023-02-07,S00196,2023-02-20,2023-04-27,99.0,canceled,,,,Churned,2023-04-27
C0204,Unknown,US,False,outbound,2023-02-06,S00197,2023-04-03,,79.0,active,2023-02-13,,2023-02-10,Paid,
C0205,Mid-Market,DE,False,ads,2023-01-10,S00198,2023-02-05,,79.0,active,,2023-02-16,,Churned,2023-02-16
C0206,Mid-Market,UK,False,ads,2023-01-29,S00199,2023-03-26,,699.0,active,,,2023-02-07,Paid,
C0207,SMB,IN,False,organic,2023-01-10,,,,,,,,,Signup,
C0208,Enterprise,DE,True,ads,2023-02-21,S00200,2023-03-31,,49.0,active,,2023-05-16,2023-02-22,Churned,2023-05-16
C0209,Enterprise,AU,True,referral,2023-01-11,S00201,2023-01-11,,99.0,active,,,2023-02-02,Paid,
C0210,Unknown,DE,False,ads,2023-02-04,S00202,2023-03-20,,149.0,active,,,2023-03-20,Paid,
C0211,Unknown,AU,False,outbound,2023-01-06,S00203,2023-03-12,,79.0,active,,,,Paid,
C0212,SMB,US,False,ads,2023-02-02,S00204,2023-03-14,,149.0,active,,,2023-02-25,Paid,
C0213,SMB,AU,False,outbound,2023-02-19,S00205,2023-02-19,,499.0,active,,,,Paid,
C0214,SMB,IN,False,organic,2023-01-21,S00206,2023-01-21,,149.0,active,,,2023-02-08,Paid,
C0215,Unknown,UK,False,referral,2023-03-24,S00207,2023-04-02,2023-06-08,49.0,canceled,,,,Churned,2023-06-08
C0216,Unknown,AU,False,organic,2023-01-08,S00208,2023-03-25,,79.0,active,2023-01-12,2023-03-23,2023-01-09,Churned,2023-03-23
C0217,Unknown,UK,False,outbound,2023-01-12,S00209,2023-03-07,,99.0,active,2023-02-23,,2023-02-22,Paid,
C0218,SMB,IN,False,outbound,2023-02-01,S00210,2023-02-01,,699.0,active,2023-02-26,2023-05-13,2023-02-23,Churned,2023-05-13
C0219,Unknown,UK,False,referral,2023-02-08,S00211,2023-02-10,,299.0,active,,,,Paid,
C0220,SMB,DE,False,referral,2023-01-14,S00212,2023-02-04,,499.0,active,2023-01-17,,2023-01-15,Paid,
C0221,Enterprise,US,True,organic,2023-01-01,S00213,2023-03-02,,79.0,active,,2023-02-24,,Churned,2023-02-24
C0222,SMB,AU,False,referral,2023-01-06,,,,,,2023-01-08,2023-03-02,2023-01-07,Churned,
C0223,Unknown,US,False,organic,2023-01-07,S00214,2023-01-07,2023-03-09,79.0,canceled,2023-04-01,,2023-03-28,Churned,2023-03-09
C0224,Unknown,AU,False,outbound,2023-02-11,,,,,,,,,Signup,
